OID_,latitude,longitude,activitystartdate,resultmeasurevalue_mg_l,chlor_a,nflh,poc,sst,Rrs_412,Rrs_443,Rrs_469,Rrs_488,Rrs_531,Rrs_547,Rrs_555,Rrs_645,Rrs_667,Rrs_678
26,29.4898,-86.5026,5/3/2010 0:00,5.245,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
27,29.4898,-86.5026,5/3/2010 0:00,5.248,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
28,29.4898,-86.5026,5/3/2010 0:00,5.26,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
29,29.4898,-86.5026,5/3/2010 0:00,5.274,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
30,29.4898,-86.5026,5/3/2010 0:00,5.291,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
31,29.4898,-86.5026,5/3/2010 0:00,5.302,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
32,29.4898,-86.5026,5/3/2010 0:00,5.31,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
33,29.4898,-86.5026,5/3/2010 0:00,5.315,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
34,29.4898,-86.5026,5/3/2010 0:00,5.316,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
35,29.4898,-86.5026,5/3/2010 0:00,5.321,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
36,29.4898,-86.5026,5/3/2010 0:00,5.323,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
37,29.4898,-86.5026,5/3/2010 0:00,5.319,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
38,29.4898,-86.5026,5/3/2010 0:00,5.313,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
39,29.4898,-86.5026,5/3/2010 0:00,5.305,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
40,29.4898,-86.5026,5/3/2010 0:00,5.298,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
41,29.4898,-86.5026,5/3/2010 0:00,5.292,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
42,29.4898,-86.5026,5/3/2010 0:00,5.287,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
43,29.4898,-86.5026,5/3/2010 0:00,5.281,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
44,29.4898,-86.5026,5/3/2010 0:00,5.271,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
45,29.4898,-86.5026,5/3/2010 0:00,5.254,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
46,29.4898,-86.5026,5/3/2010 0:00,5.244,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
47,29.4898,-86.5026,5/3/2010 0:00,5.243,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
48,29.4898,-86.5026,5/3/2010 0:00,5.232,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
49,29.4898,-86.5026,5/3/2010 0:00,5.218,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
50,29.4898,-86.5026,5/3/2010 0:00,5.202,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
51,29.4898,-86.5026,5/3/2010 0:00,5.185,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
52,29.4898,-86.5026,5/3/2010 0:00,5.165,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
53,29.4898,-86.5026,5/3/2010 0:00,5.164,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
54,29.4898,-86.5026,5/3/2010 0:00,5.152,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
55,29.4898,-86.5026,5/3/2010 0:00,5.122,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
56,29.4898,-86.5026,5/3/2010 0:00,5.087,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
57,29.4898,-86.5026,5/3/2010 0:00,5.048,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
58,29.4898,-86.5026,5/3/2010 0:00,4.968,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
59,29.4898,-86.5026,5/3/2010 0:00,4.943,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
60,29.4898,-86.5026,5/3/2010 0:00,4.921,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
61,29.4898,-86.5026,5/3/2010 0:00,4.9,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
62,29.4898,-86.5026,5/3/2010 0:00,4.88,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
63,29.4898,-86.5026,5/3/2010 0:00,4.857,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
64,29.4898,-86.5026,5/3/2010 0:00,4.835,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
65,29.4898,-86.5026,5/3/2010 0:00,4.816,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
66,29.4898,-86.5026,5/3/2010 0:00,4.803,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
67,29.4898,-86.5026,5/3/2010 0:00,4.788,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
68,29.4898,-86.5026,5/3/2010 0:00,4.774,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
69,29.4898,-86.5026,5/3/2010 0:00,4.763,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
70,29.4898,-86.5026,5/3/2010 0:00,4.755,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
71,29.4898,-86.5026,5/3/2010 0:00,4.745,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
72,29.4898,-86.5026,5/3/2010 0:00,4.728,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
73,29.4898,-86.5026,5/3/2010 0:00,4.705,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
74,29.4898,-86.5026,5/3/2010 0:00,4.694,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
75,29.4898,-86.5026,5/3/2010 0:00,4.69,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
76,29.4898,-86.5026,5/3/2010 0:00,4.678,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
77,29.4898,-86.5026,5/3/2010 0:00,4.666,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
78,29.4898,-86.5026,5/3/2010 0:00,4.658,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
79,29.4898,-86.5026,5/3/2010 0:00,4.652,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
80,29.4898,-86.5026,5/3/2010 0:00,4.648,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
81,29.4898,-86.5026,5/3/2010 0:00,4.646,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
82,29.4898,-86.5026,5/3/2010 0:00,4.64,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
83,29.4898,-86.5026,5/3/2010 0:00,4.63,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
84,29.4898,-86.5026,5/3/2010 0:00,4.622,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
85,29.4898,-86.5026,5/3/2010 0:00,4.613,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
86,29.4898,-86.5026,5/3/2010 0:00,4.602,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
87,29.4898,-86.5026,5/3/2010 0:00,4.591,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
88,29.4898,-86.5026,5/3/2010 0:00,4.579,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
89,29.4898,-86.5026,5/3/2010 0:00,4.566,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
90,29.4898,-86.5026,5/3/2010 0:00,4.551,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
91,29.4898,-86.5026,5/3/2010 0:00,4.532,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
92,29.4898,-86.5026,5/3/2010 0:00,4.513,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
93,29.4898,-86.5026,5/3/2010 0:00,4.494,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
94,29.4898,-86.5026,5/3/2010 0:00,4.474,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
95,29.4898,-86.5026,5/3/2010 0:00,4.453,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
96,29.4898,-86.5026,5/3/2010 0:00,4.431,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
97,29.4898,-86.5026,5/3/2010 0:00,4.409,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
98,29.4898,-86.5026,5/3/2010 0:00,4.378,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
99,29.4898,-86.5026,5/3/2010 0:00,4.347,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
100,29.4898,-86.5026,5/3/2010 0:00,4.318,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
101,29.4898,-86.5026,5/3/2010 0:00,4.29,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
102,29.4898,-86.5026,5/3/2010 0:00,4.276,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
103,29.4898,-86.5026,5/3/2010 0:00,4.256,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
104,29.4898,-86.5026,5/3/2010 0:00,4.229,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
105,29.4898,-86.5026,5/3/2010 0:00,4.207,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
106,29.4898,-86.5026,5/3/2010 0:00,4.18,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
107,29.4898,-86.5026,5/3/2010 0:00,4.149,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
108,29.4898,-86.5026,5/3/2010 0:00,4.119,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
109,29.4898,-86.5026,5/3/2010 0:00,4.092,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
110,29.4898,-86.5026,5/3/2010 0:00,4.069,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
111,29.4898,-86.5026,5/3/2010 0:00,4.049,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
112,29.4898,-86.5026,5/3/2010 0:00,4.026,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
113,29.4898,-86.5026,5/3/2010 0:00,4.002,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
114,29.4898,-86.5026,5/3/2010 0:00,3.98,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
115,29.4898,-86.5026,5/3/2010 0:00,3.959,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
116,29.4898,-86.5026,5/3/2010 0:00,3.936,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
117,29.4898,-86.5026,5/3/2010 0:00,3.914,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
118,29.4898,-86.5026,5/3/2010 0:00,3.891,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
119,29.4898,-86.5026,5/3/2010 0:00,3.863,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
120,29.4898,-86.5026,5/3/2010 0:00,3.832,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
121,29.4898,-86.5026,5/3/2010 0:00,3.804,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
122,29.4898,-86.5026,5/3/2010 0:00,3.784,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
123,29.4898,-86.5026,5/3/2010 0:00,3.769,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
124,29.4898,-86.5026,5/3/2010 0:00,3.754,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
125,29.4898,-86.5026,5/3/2010 0:00,3.738,0.2095668,0.0197381,63.4399986,25.8141308,0.0050954,0.0051338,0.004986,0.0045346,0.0023864,0.0017884,0.001522,0.0001238,0.0001724,0.0001682
